year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_days
2018,1,1,5123,5046,10169,360799.0,71.50198176773682
2018,1,2,10761,8268,19029,601797.0,72.78628447024674
2018,1,3,18604,25610,44214,2590414.0,101.14853572823117
2018,1,4,19564,11335,30899,736626.0,64.9868548742832
2018,1,5,17109,11802,28911,806351.0,68.3232502965599
2018,1,7,20022,16770,36792,1527983.0,91.11407274895647
2018,1,8,21955,8802,30757,1001814.0,113.81663258350375
2018,1,9,35676,48484,84160,3089389.0,63.719763220856365
2018,1,10,6696,6964,13660,469382.0,67.40120620333141
2018,1,11,6475,4861,11336,470522.0,96.79530960707673
2018,1,12,3427,4476,7903,400470.0,89.47050938337802
2018,1,13,18439,14114,32553,674599.0,47.79644324783902
2018,1,14,26063,17988,44051,1239900.0,68.92928619079386
2018,1,15,16442,14300,30742,953925.0,66.70804195804196
2018,1,17,17172,10029,27201,838989.0,83.65629673945558
2018,1,18,13114,6782,19896,514837.0,75.91226776762016
2018,1,19,25502,25417,50919,1512541.0,59.5090293897785
2018,1,20,32308,22972,55280,1796584.0,78.20755702594462
2018,1,21,52538,28525,81063,2451945.0,85.95775635407537
2018,1,23,68215,60769,128984,7171515.0,118.0127203014695
2018,1,24,14408,13803,28211,872005.0,63.17503441280881
2018,1,25,50195,36143,86338,1946426.0,53.85347093489749
2018,1,26,35723,24294,60017,1433113.0,58.99040915452375
2018,1,27,22129,18346,40475,1507840.0,82.18903303172354
2018,1,28,16682,12717,29399,876178.0,68.89816780687269
2018,1,29,14970,11328,26298,702617.0,62.02480579096045
2018,1,30,33561,24143,57704,1629094.0,67.47686700078698
2018,1,31,18282,33788,52070,1299745.0,38.46765123712561
2018,1,32,6334,5430,11764,425411.0,78.34456721915285
2018,1,33,3370,3257,6627,275126.0,84.47221369358306
2018,1,34,22888,12681,35569,1042541.0,82.21283810425045
2018,1,35,16447,15916,32363,1230526.0,77.31377230459914
2018,1,36,8201,5325,13526,509042.0,95.59474178403755
2018,1,37,22141,24461,46602,1574190.0,64.35509586689015
2018,1,38,3688,1429,5117,235980.0,165.13645906228132
2018,1,39,2174,791,2965,101221.0,127.96586599241466
2018,1,40,15219,5537,20756,968781.0,174.96496297634098
2018,1,41,3201,2798,5999,489988.0,175.12080057183704
2018,1,42,15932,8086,24018,1681148.0,207.90848379915903
2018,1,43,266,67,333,20238.0,302.05970149253733
2018,2,2,12865,9039,21904,1003300.0,110.99679168049563
2018,2,3,14495,7679,22174,1010842.0,131.63719234275297
2018,2,4,18860,15235,34095,1521274.0,99.8538890712176
2018,2,5,20738,12087,32825,1453774.0,120.27583354016713
2018,2,7,11106,11241,22347,888941.0,79.08024197135487
2018,2,10,16232,8391,24623,1003810.0,119.62936479561435
2018,2,11,21511,20344,41855,1778235.0,87.40832677939441
2018,2,15,9865,5440,15305,769239.0,141.40422794117646
2018,2,17,11883,8263,20146,738203.0,89.33837589253298
2018,2,19,4844,6397,11241,533686.0,83.42754416132563
2018,2,20,16825,19860,36685,1385285.0,69.75251762336354
2018,2,21,6037,4914,10951,431090.0,87.72690272690272
2018,2,23,13710,10056,23766,1248151.0,124.12002784407319
2018,3,1,36511,46526,83037,3058515.0,65.73775953230452
2018,3,2,10887,12496,23383,833386.0,66.69222151088348
2018,3,3,11942,15341,27283,1011704.0,65.94772179127827
2018,3,4,12340,16417,28757,1100554.0,67.03746116830115
2018,3,5,9991,18242,28233,1095033.0,60.02812191645653
2018,3,6,9778,12806,22584,1042024.0,81.36998282055286
2018,3,7,8379,9256,17635,625837.0,67.61419619706136
2018,3,8,5372,9670,15042,602861.0,62.343433298862465
2018,3,9,12431,25634,38065,1152783.0,44.97085901537021
2018,3,10,10443,12124,22567,923804.0,76.19630484988453
2018,3,11,10161,11007,21168,755732.0,68.65921686199691
2018,3,12,14044,29920,43964,1588028.0,53.075802139037435
2018,3,13,10237,15946,26183,1214875.0,76.18681801078641
2018,3,14,10292,18421,28713,1047541.0,56.86667390478259
2018,3,15,15679,19670,35349,1452681.0,73.85261820030503
2018,3,16,8062,14086,22148,755377.0,53.626082635240664
2018,3,17,8787,12521,21308,859349.0,68.63261720309879
2018,3,18,19277,28049,47326,1348939.0,48.09223145210168
2018,3,19,9303,12126,21429,905434.0,74.6688108197262
2018,3,20,63030,151244,214274,11467554.0,75.82154663986671
2018,3,21,26202,28811,55013,984241.0,34.16198674117525
2018,3,22,17751,17212,34963,1254710.0,72.89739716476876
2018,3,23,18164,21650,39814,1216858.0,56.20591224018476
2018,3,24,16527,35200,51727,2690428.0,76.43261363636364
2018,3,25,2697,7594,10291,727410.0,95.78746378720042
2018,3,26,28524,30769,59293,2353477.0,76.48857616432123
2018,3,27,8109,7966,16075,604444.0,75.87798142103942
2018,3,28,8815,6567,15382,436410.0,66.45500228414801
2018,3,29,10072,11145,21217,716776.0,64.31368326603858
2018,3,30,3328,5964,9292,437411.0,73.34188464118041
2018,4,1,6324,9826,16150,1357241.0,138.12751882760026
2018,4,2,35700,43503,79203,8640811.0,198.62563501367723
2018,4,3,14598,32825,47423,3336977.0,101.6596191926885
2018,4,4,32023,35951,67974,6044667.0,168.13626881032516
2018,4,5,15952,27243,43195,4916666.0,180.47447050618507
2018,4,6,22482,49178,71660,7063439.0,143.63005815608605
2018,4,7,9437,11758,21195,1539433.0,130.9264330668481
2018,4,8,21004,22172,43176,4438730.0,200.19529135847014
2018,4,9,60850,39225,100075,7061279.0,180.01985978330146
2018,4,10,28626,43849,72475,5734884.0,130.78711031038335
2018,4,11,10686,16885,27571,3083812.0,182.63618596387326
2018,4,12,22198,15671,37869,2305351.0,147.10937400293537
2018,4,15,38688,25997,64685,4661673.0,179.31580566988498
2018,4,16,2995,9966,12961,1436373.0,144.12733293196868
2018,5,1,6679,7799,14478,471839.0,60.499935889216566
2018,5,2,14480,22592,37072,1100805.0,48.72543378186969
2018,5,3,5881,15787,21668,534404.0,33.8508899727624
2018,5,4,7443,21570,29013,705619.0,32.71298099211868
2018,5,5,9691,28739,38430,989274.0,34.42270085945927
2018,5,6,10203,26371,36574,833672.0,31.613211482310113
2018,5,7,5177,9004,14181,312714.0,34.73056419369169
2018,5,8,3259,16409,19668,426537.0,25.994088609909195
2018,5,9,3792,5937,9729,251017.0,42.280107798551455
2018,5,10,6268,21859,28127,897421.0,41.054988791802
2018,5,11,14677,51578,66255,2030847.0,39.374287486913026
2018,6,1,15518,29280,44798,1241570.0,42.40334699453552
2018,6,2,3403,4716,8119,379295.0,80.42726887192536
2018,6,3,1941,2177,4118,196264.0,90.15342214056041
2018,6,4,4593,3774,8367,375939.0,99.61287758346582
2018,6,5,3338,1917,5255,211770.0,110.46948356807512
2018,6,6,4681,4914,9595,426513.0,86.7954822954823
2018,6,7,4311,6540,10851,583160.0,89.16819571865443
2018,6,8,3962,2530,6492,389060.0,153.77865612648222
2018,6,9,2565,1562,4127,286047.0,183.12868117797694
2018,6,10,10735,7230,17965,690359.0,95.4853388658368
2018,6,11,4130,6171,10301,749948.0,121.52779128180198
2018,6,12,2927,2360,5287,220132.0,93.27627118644068
2018,6,13,4702,4478,9180,470509.0,105.07123715944618
2018,6,15,2828,1995,4823,246743.0,123.68070175438596
2018,6,16,5059,6238,11297,598532.0,95.94934273805707
2018,6,17,993,2261,3254,204982.0,90.65988500663423
2018,6,18,3462,6354,9816,389694.0,61.330500472143534
2018,6,19,2116,3225,5341,250393.0,77.64124031007752
2018,6,20,3841,3829,7670,317307.0,82.86941760250718
2018,6,21,3270,3338,6608,289553.0,86.7444577591372
2018,6,22,1610,1397,3007,130405.0,93.34645669291339
2018,6,23,3099,1120,4219,213609.0,190.72232142857143
2018,6,24,515,2099,2614,154457.0,73.58599333015722
2018,6,25,695,936,1631,268594.0,286.95940170940173
2018,6,26,2068,2509,4577,170340.0,67.89159027500996
2018,6,27,1876,764,2640,183320.0,239.9476439790576
2018,6,28,537,276,813,27217.0,98.6123188405797
2018,7,1,3637,7949,11586,310251.0,39.03019247704114
2018,7,2,2451,6969,9420,123436.0,17.71215382407806
2018,7,3,2786,6757,9543,182745.0,27.04528636969069
2018,7,4,1592,3900,5492,154914.0,39.721538461538465
2018,7,5,1814,4720,6534,158369.0,33.552754237288134
2018,7,6,3398,8512,11910,241994.0,28.429746240601503
2018,7,7,4056,12200,16256,370702.0,30.385409836065573
2018,7,8,1449,2852,4301,139787.0,49.01367461430575
2018,7,9,9897,22538,32435,821571.0,36.45270210311474
2018,7,10,5355,14686,20041,415578.0,28.297562304235328
2018,7,11,7543,21063,28606,518394.0,24.611593790058397
2018,7,12,1660,4540,6200,143052.0,31.509251101321585
2018,7,13,3515,8580,12095,242965.0,28.31759906759907
2018,7,14,1548,3582,5130,116464.0,32.513679508654384
2018,7,15,1898,3914,5812,139805.0,35.71921308124681
2018,7,16,4205,6616,10821,360442.0,54.48035066505442
2018,7,17,5227,10364,15591,336310.0,32.44982632188344
2018,7,18,688,2233,2921,116513.0,52.17778772951187
2018,7,19,1555,3422,4977,114433.0,33.44038573933372
2018,7,20,4047,10994,15041,230876.0,21.000181917409495
2018,7,21,1497,4568,6065,142906.0,31.28415061295972
2018,7,22,12330,16003,28333,963673.0,60.21827157407986
2018,7,23,2,4537,4539,332702.0,73.33083535375799
2018,7,24,13,1648,1661,193469.0,117.39623786407768
2018,8,1,44916,17426,62342,1060057.0,60.83191782394124
2018,8,2,7982,3789,11771,259109.0,68.38453417788335
2018,8,3,15539,7248,22787,561429.0,77.45985099337749
2018,8,4,6990,12230,19220,1051700.0,85.99345870809485
2018,8,5,12158,9581,21739,401944.0,41.95219705667467
2018,8,6,12399,7338,19737,481354.0,65.59743799400381
2018,8,7,6837,3639,10476,327729.0,90.06018136850783
2018,8,9,9034,5381,14415,501842.0,93.26184724028991
2018,8,10,18782,10600,29382,622975.0,58.77122641509434
2018,8,11,6713,4609,11322,205987.0,44.69234107181601
2018,8,12,8127,4391,12518,171463.0,39.048736051013435
2018,8,13,14292,5443,19735,428235.0,78.6762814624288
2018,8,14,6761,3434,10195,134914.0,39.28771112405358
2018,8,15,7184,2736,9920,242723.0,88.71454678362574
2018,8,16,3132,4436,7568,442087.0,99.65892696122633
2018,8,17,11441,8047,19488,540475.0,67.16478190630049
2018,8,18,11479,5907,17386,499243.0,84.51718300321652
2018,8,19,4045,2345,6390,105155.0,44.84221748400853
2018,8,20,2708,1840,4548,150549.0,81.82010869565218
2018,8,21,6833,2796,9629,201909.0,72.21351931330472
2018,8,22,5051,3458,8509,348792.0,100.86524002313476
2018,8,23,11513,8516,20029,419026.0,49.20455612963833
2018,8,24,10045,5013,15058,290565.0,57.96229802513465
2018,8,25,4191,2182,6373,193807.0,88.82080659945005
2018,8,26,9092,3095,12187,221432.0,71.54507269789984
2018,8,27,3317,7071,10388,461285.0,65.23617592985434
2018,8,28,20955,9498,30453,541511.0,57.01316066540324
2018,8,29,17625,6728,24353,666424.0,99.05231866825208
2018,8,30,12903,3772,16675,237264.0,62.90137857900318
2018,8,31,14063,8043,22106,342658.0,42.60325749098595
2018,8,33,12895,3795,16690,243962.0,64.28511198945982
2018,8,34,15074,4468,19542,477556.0,106.88361683079678
2018,8,35,15083,8195,23278,433317.0,52.87577791336181
2018,8,36,6854,2612,9466,182983.0,70.05474732006125
2018,8,37,1751,287,2038,52219.0,181.94773519163763
2018,8,38,21705,4689,26394,421536.0,89.89891234804863
2018,8,39,5896,2672,8568,432000.0,161.67664670658684
2018,9,1,7012,6589,13601,464792.0,70.54059796630749
2018,9,2,19702,18954,38656,1698840.0,89.62962962962963
2018,9,3,5742,12468,18210,589731.0,47.299566891241575
2018,9,4,44549,53888,98437,2522077.0,46.80220086104513
2018,9,5,6465,11111,17576,368040.0,33.12393123931239
2018,9,6,8254,15505,23759,853336.0,55.036181876813934
2018,9,7,17780,20365,38145,1158138.0,56.869040019641545
2018,9,8,9744,17286,27030,565938.0,32.73967372440125
2018,9,9,17391,14390,31781,721584.0,50.14482279360667
2018,9,10,7430,11626,19056,406297.0,34.94727335282987
2018,9,11,9894,13442,23336,639564.0,47.5795268561226
2018,9,12,7507,7918,15425,307027.0,38.775827229098255
2018,9,13,9222,12903,22125,866715.0,67.17158800279005
2018,9,14,20457,34013,54470,1194818.0,35.1282744832858
2018,9,18,6950,15404,22354,840681.0,54.5754998701636
2018,9,19,12287,26313,38600,537578.0,20.430129593736936
2018,9,20,17720,48892,66612,1276921.0,26.117176634214186
2018,9,21,4053,6170,10223,263133.0,42.64716369529984
2018,9,22,6284,10572,16856,425621.0,40.259269769201666
2018,9,23,3185,6228,9413,297796.0,47.815671162491974
2018,9,24,3108,5695,8803,293976.0,51.620017559262514
2018,9,25,4147,5760,9907,287327.0,49.883159722222224
2018,9,26,4438,6481,10919,281853.0,43.4891220490665
2018,9,27,4109,7234,11343,360561.0,49.842549073818084
2018,9,28,7217,14502,21719,1465893.0,101.08212660322714
2018,9,29,4846,7561,12407,320107.0,42.336595688401005
2018,9,30,11084,11086,22170,476965.0,43.02408443081364
2018,9,31,12625,13045,25670,514481.0,39.43894212341893
2018,9,32,2539,4563,7102,96515.0,21.151654613193074
2018,9,33,6842,8250,15092,403295.0,48.88424242424242
2018,9,34,3380,4291,7671,187361.0,43.663714751806104
2018,9,35,11252,15633,26885,642934.0,41.12671911981066
2018,9,36,5771,9897,15668,449566.0,45.42447206224109
2018,9,38,5120,8897,14017,864553.0,97.17354164325053
2018,9,39,4937,7498,12435,128494.0,17.13710322752734
2018,9,40,9,38250,38259,3311486.0,86.57479738562091
2018,10,1,4929,3193,8122,296392.0,92.825555903539
2018,10,2,4630,5151,9781,294058.0,57.08755581440497
2018,10,3,15160,26316,41476,1154319.0,43.86377108983128
2018,10,4,5165,11566,16731,322639.0,27.895469479508904
2018,10,5,6692,5445,12137,764527.0,140.40899908172636
2018,10,6,5285,8907,14192,372343.0,41.80341304591894
2018,10,7,9241,11345,20586,585718.0,51.62785368003526
2018,10,8,12199,13332,25531,870105.0,65.26440144014401
2018,10,9,7317,12869,20186,527477.0,40.988188670448366
2018,10,10,11723,8073,19796,835213.0,103.45757463148767
2018,10,11,11041,16660,27701,867881.0,52.093697478991594
2018,10,12,12088,13188,25276,912164.0,69.16621170761299
2018,10,13,40469,14562,55031,2054825.0,141.10870759511056
2018,10,14,6421,22033,28454,711050.0,32.272046475740936
2018,10,15,13343,21172,34515,809781.0,38.247732854713774
2018,10,16,2197,3759,5956,165166.0,43.93881351423251
2018,10,17,8348,13420,21768,737793.0,54.977123695976154
2018,10,18,18459,10917,29376,986962.0,90.40597233672254
2018,10,19,6147,5207,11354,418375.0,80.34856923372384
2018,10,20,11580,7720,19300,808273.0,104.69857512953368
2018,10,21,3713,5127,8840,235152.0,45.86541837331773
2018,10,22,8261,9236,17497,412265.0,44.63674750974448
2018,10,23,2293,6314,8607,125403.0,19.861102312321826
2018,10,24,11530,8814,20344,892693.0,101.2812570909916
2018,10,25,3370,8404,11774,260259.0,30.968467396477866
2018,10,26,6863,9995,16858,515244.0,51.55017508754377
2018,10,27,8675,15935,24610,551324.0,34.5983056165673
2018,10,28,7615,5940,13555,618169.0,104.06885521885522
2018,10,29,5342,12893,18235,369669.0,28.672070115566587
2018,10,30,3408,5384,8792,306639.0,56.95375185735513
2018,10,31,11489,10215,21704,622324.0,60.922564855604506
2018,10,32,10483,6649,17132,798575.0,120.10452699654083
2018,10,33,11839,11668,23507,999706.0,85.67929379499486
2018,11,1,17920,5195,23115,533613.0,102.71665062560155
2018,11,2,6014,1317,7331,124397.0,94.45482156416097
2018,11,3,2724,818,3542,107369.0,131.25794621026895
2018,11,4,8445,4453,12898,224933.0,50.51268807545475
2018,11,5,17244,4752,21996,438008.0,92.17340067340068
2018,11,6,7267,2525,9792,162162.0,64.22257425742575
2018,11,7,5708,1485,7193,135501.0,91.24646464646464
2018,11,8,13045,3387,16432,257672.0,76.07676409802185
2018,11,9,1938,843,2781,94948.0,112.63107947805457
2018,11,10,5935,1599,7534,237393.0,148.46341463414635
2018,11,11,7873,1928,9801,118378.0,61.399377593360995
2018,11,12,6574,481,7055,25242.0,52.478170478170476
2018,11,13,7684,2572,10256,279229.0,108.5649300155521
2018,11,14,6668,1688,8356,291223.0,172.5254739336493
2018,11,15,6405,3216,9621,263122.0,81.81654228855722
2018,11,16,9080,4535,13615,265284.0,58.49702315325248
2018,11,17,6247,1911,8158,138718.0,72.58922030350602
2018,11,18,11313,1894,13207,171255.0,90.41974656810982
2018,11,19,6368,1695,8063,145092.0,85.6
2018,11,20,2411,1710,4121,281896.0,164.8514619883041
2018,11,21,5164,2655,7819,233053.0,87.7789077212806
2018,11,22,2853,1225,4078,95156.0,77.67836734693877
2018,11,23,3362,1248,4610,112733.0,90.33092948717949
2018,11,24,2552,790,3342,56601.0,71.64683544303797
2018,11,26,8041,1010,9051,121480.0,120.27722772277228
2018,11,27,6407,1726,8133,152653.0,88.44322132097335
2018,11,29,6383,1613,7996,76740.0,47.575945443273405
2018,11,30,1412,406,1818,28868.0,71.10344827586206
2018,11,31,2440,648,3088,59283.0,91.48611111111111
2018,11,32,735,774,1509,128911.0,166.5516795865633
2018,12,1,1396,1224,2620,135630.0,110.80882352941177
2018,12,2,1961,3292,5253,190225.0,57.78402187120292
2018,12,3,4057,2481,6538,203242.0,81.91938734381299
2018,12,4,2837,7258,10095,333184.0,45.90575916230367
2018,12,5,6461,6503,12964,509294.0,78.31677687221283
2018,12,6,1301,3040,4341,247594.0,81.4453947368421
2018,12,7,793,710,1503,49964.0,70.3718309859155
2018,12,8,1804,1028,2832,81777.0,79.54961089494164
2018,12,9,772,614,1386,96318.0,156.86970684039088
2018,12,10,654,1605,2259,58690.0,36.56697819314642
2018,12,11,2161,1448,3609,120960.0,83.53591160220995
2018,12,12,951,695,1646,89020.0,128.0863309352518
2018,12,13,2635,1187,3822,181072.0,152.54591406908173
2018,12,14,844,564,1408,54725.0,97.03014184397163
2018,12,15,1613,2777,4390,136428.0,49.127835794022324
2018,12,16,128,178,306,8424.0,47.325842696629216
2018,12,17,90,85,175,4422.0,52.023529411764706
2018,12,18,512,203,715,30378.0,149.64532019704433
2018,12,19,10096,6209,16305,712954.0,114.82589789015944
2018,12,20,582,519,1101,46999.0,90.55684007707129
