state_code,dist_code,year,state_name,district_name,total_cases
1,1,2018,Maharashtra,Nandurbar,5046
1,2,2018,Maharashtra,Dhule,8268
1,3,2018,Maharashtra,Jalgaon,25610
1,4,2018,Maharashtra,Buldhana,11335
1,5,2018,Maharashtra,Akola,11802
1,7,2018,Maharashtra,Amravati,16770
1,8,2018,Maharashtra,Wardha,8802
1,9,2018,Maharashtra,Nagpur,48484
1,10,2018,Maharashtra,Bhandara,6964
1,11,2018,Maharashtra,Gondia,4861
1,12,2018,Maharashtra,Gadchiroli,4476
1,13,2018,Maharashtra,Chandrapur,14114
1,14,2018,Maharashtra,Yavatmal,17988
1,15,2018,Maharashtra,Nanded,14300
1,17,2018,Maharashtra,Parbhani,10029
1,18,2018,Maharashtra,Jalna,6782
1,19,2018,Maharashtra,Aurangabad,25417
1,20,2018,Maharashtra,Nashik,22972
1,21,2018,Maharashtra,Thane,28525
1,23,2018,Maharashtra,Mumbai CMM Courts,60769
1,24,2018,Maharashtra,Raigad,13803
1,25,2018,Maharashtra,Pune,36143
1,26,2018,Maharashtra,Ahmednagar,24294
1,27,2018,Maharashtra,Beed,18346
1,28,2018,Maharashtra,Latur,12717
1,29,2018,Maharashtra,Osmanabad,11328
1,30,2018,Maharashtra,Solapur,24143
1,31,2018,Maharashtra,Satara,33788
1,32,2018,Maharashtra,Ratnagiri,5430
1,33,2018,Maharashtra,Sindhudurg,3257
1,34,2018,Maharashtra,Kolhapur,12681
1,35,2018,Maharashtra,Sangli,15916
1,36,2018,Maharashtra,Washim,5325
1,37,2018,Maharashtra,Mumbai City Civil Court,24461
1,38,2018,Maharashtra,Mumbai Small Causes Court,1429
1,39,2018,Maharashtra,Mumbai Motor Accident Claims T,791
1,40,2018,Maharashtra,Maharashtra Industrial and Lab,5537
1,41,2018,Maharashtra,Mah State Cooperative Appellat,2798
1,42,2018,Maharashtra,Maharashtra-Family Courts,8086
1,43,2018,Maharashtra,Maharashtra-School Tribunals,67
2,2,2018,Andhra Pradesh,Ananthapur,9039
2,3,2018,Andhra Pradesh,Chittoor,7679
2,4,2018,Andhra Pradesh,East Godavari,15235
2,5,2018,Andhra Pradesh,Guntur,12087
2,7,2018,Andhra Pradesh,Kadapa,11241
2,10,2018,Andhra Pradesh,Kurnool,8391
2,11,2018,Andhra Pradesh,Krishna,20344
2,15,2018,Andhra Pradesh,Nellore,5440
2,17,2018,Andhra Pradesh,Prakasham,8263
2,19,2018,Andhra Pradesh,Srikakulam,6397
2,20,2018,Andhra Pradesh,Visakapatnam,19860
2,21,2018,Andhra Pradesh,Vizianagaram,4914
2,23,2018,Andhra Pradesh,West Godavari,10056
3,1,2018,Karnataka,BELAGAVI,46526
3,2,2018,Karnataka,BAGALKOT,12496
3,3,2018,Karnataka,VIJAYAPURA,15341
3,4,2018,Karnataka,KALABURAGI,16417
3,5,2018,Karnataka,BIDAR,18242
3,6,2018,Karnataka,RAICHUR,12806
3,7,2018,Karnataka,KOPPAL,9256
3,8,2018,Karnataka,GADAG,9670
3,9,2018,Karnataka,DHARWAD,25634
3,10,2018,Karnataka,UTTARA KANNADA,12124
3,11,2018,Karnataka,HAVERI,11007
3,12,2018,Karnataka,BALLARI,29920
3,13,2018,Karnataka,CHITRADURGA,15946
3,14,2018,Karnataka,DAVANGERE,18421
3,15,2018,Karnataka,SHIVAMOGGA,19670
3,16,2018,Karnataka,UDUPI,14086
3,17,2018,Karnataka,CHIKKAMAGALURU,12521
3,18,2018,Karnataka,TUMAKURU,28049
3,19,2018,Karnataka,KOLAR,12126
3,20,2018,Karnataka,BENGALURU,151244
3,21,2018,Karnataka,BENGALURU RURAL,28811
3,22,2018,Karnataka,MANDYA,17212
3,23,2018,Karnataka,HASSAN,21650
3,24,2018,Karnataka,DAKSHINA KANNADA,35200
3,25,2018,Karnataka,KODAGU,7594
3,26,2018,Karnataka,MYSURU,30769
3,27,2018,Karnataka,CHAMRAJNAGAR,7966
3,28,2018,Karnataka,RAMANAGARAM,6567
3,29,2018,Karnataka,CHIKKABALLAPUR,11145
3,30,2018,Karnataka,YADGIR.,4680
3,30,2018,Karnataka,YADGIR,1284
4,1,2018,Kerala,Kasaragod,9826
4,2,2018,Kerala,Ernakulam,43503
4,3,2018,Kerala,Kannur,32825
4,4,2018,Kerala,Thrissur,35951
4,5,2018,Kerala,Kozhikode,27243
4,6,2018,Kerala,Alappuzha,49178
4,7,2018,Kerala,Idukki,11758
4,8,2018,Kerala,Palakkad,22172
4,9,2018,Kerala,Thiruvananthapuram,39225
4,10,2018,Kerala,Kottayam,43849
4,11,2018,Kerala,Malappuram,16885
4,12,2018,Kerala,Pathanamthitta,15671
4,15,2018,Kerala,Kollam,25997
4,16,2018,Kerala,Wayanad,9966
5,1,2018,Himachal Pradesh,Hamirpur,7799
5,2,2018,Himachal Pradesh,Kangra,22592
5,3,2018,Himachal Pradesh,Sirmaur,15787
5,4,2018,Himachal Pradesh,Una,21570
5,5,2018,Himachal Pradesh,Solan,28739
5,6,2018,Himachal Pradesh,Mandi,26371
5,7,2018,Himachal Pradesh,Bilaspur,9004
5,8,2018,Himachal Pradesh,Chamba,16409
5,9,2018,Himachal Pradesh,Kinnaur,5937
5,10,2018,Himachal Pradesh,Kullu,21859
5,11,2018,Himachal Pradesh,Shimla,51578
6,1,2018,Assam,Kamrup Metro,29280
6,2,2018,Assam,Tinsukia,4716
6,3,2018,Assam,Sivasagar,2177
6,4,2018,Assam,Morigaon,3774
6,5,2018,Assam,Lakhimpur,1917
6,6,2018,Assam,Sonitpur,4914
6,7,2018,Assam,Dibrugarh,6540
6,8,2018,Assam,Darrang,2530
6,9,2018,Assam,Bongaigaon,1562
6,10,2018,Assam,Nagaon,7230
6,11,2018,Assam,Jorhat,6171
6,12,2018,Assam,Karimganj,2360
6,13,2018,Assam,Cachar,4478
6,15,2018,Assam,Nalbari,1995
6,16,2018,Assam,Dhubri,6238
6,17,2018,Assam,Dhemaji,2261
6,18,2018,Assam,Goalpara,6354
6,19,2018,Assam,Golaghat,3225
6,20,2018,Assam,Barpeta,3829
6,21,2018,Assam,Hailakandi,3338
6,22,2018,Assam,Kokrajhar,1397
6,23,2018,Assam,Kamrup,1120
6,24,2018,Assam,Udalguri,2099
6,25,2018,Assam,Chirang,936
6,26,2018,Assam,Karbi Anglong,2509
6,27,2018,Assam,Baksa,764
6,28,2018,Assam,Dima Hasao,276
7,1,2018,Jharkhand,Bokaro,7949
7,2,2018,Jharkhand,Dumka,6969
7,3,2018,Jharkhand,Koderma,6757
7,4,2018,Jharkhand,West Singhbhum at Chaibasa,3900
7,5,2018,Jharkhand,Gumla,4720
7,6,2018,Jharkhand,Godda,8512
7,7,2018,Jharkhand,Hazaribagh,12200
7,8,2018,Jharkhand,Lohardaga,2852
7,9,2018,Jharkhand,Dhanbad,22538
7,10,2018,Jharkhand,Giridih,14686
7,11,2018,Jharkhand,East Singhbhum at Jamshedpur,21063
7,12,2018,Jharkhand,Jamtara,4540
7,13,2018,Jharkhand,Chatra,8580
7,14,2018,Jharkhand,Pakur,3582
7,15,2018,Jharkhand,Seraikella,3914
7,16,2018,Jharkhand,Deoghar,6616
7,17,2018,Jharkhand,Daltonganj,10364
7,18,2018,Jharkhand,Simdega,2233
7,19,2018,Jharkhand,Latehar,3422
7,20,2018,Jharkhand,Garhwa,10994
7,21,2018,Jharkhand,Sahibganj,4568
7,22,2018,Jharkhand,Ranchi,16003
7,23,2018,Jharkhand,RAMGARH,4537
7,24,2018,Jharkhand,KHUNTI,1648
8,1,2018,Bihar,Patna,17426
8,2,2018,Bihar,Kaimur at Bhabhua,3789
8,3,2018,Bihar,Samastipur,7248
8,4,2018,Bihar,Saran at Chapra,12230
8,5,2018,Bihar,Katihar,9581
8,6,2018,Bihar,Begusarai,7338
8,7,2018,Bihar,Banka,3639
8,9,2018,Bihar,Purnea,5381
8,10,2018,Bihar,Motihari,10600
8,11,2018,Bihar,Munger,4609
8,12,2018,Bihar,Madhepura,4391
8,13,2018,Bihar,Rohtas Sasaram,5443
8,14,2018,Bihar,Khagaria,3434
8,15,2018,Bihar,Jamui,2736
8,16,2018,Bihar,Aurangabad,4436
8,17,2018,Bihar,Darbhanga,8047
8,18,2018,Bihar,Madhubani,5907
8,19,2018,Bihar,Lakhisarai,2345
8,20,2018,Bihar,Sheikhpura,1840
8,21,2018,Bihar,Saharsa,2796
8,22,2018,Bihar,Supaul,3458
8,23,2018,Bihar,Gopalganj,8516
8,24,2018,Bihar,Araria,5013
8,25,2018,Bihar,Kishanganj,2182
8,26,2018,Bihar,Buxar,3095
8,27,2018,Bihar,Nawada,7071
8,28,2018,Bihar,Bettiah,9498
8,29,2018,Bihar,Siwan,6728
8,30,2018,Bihar,Nalanda,3772
8,31,2018,Bihar,Sitamarhi,8043
8,33,2018,Bihar,Bhojpur,3795
8,34,2018,Bihar,Bhagalpur,4468
8,35,2018,Bihar,Gaya,8195
8,36,2018,Bihar,Jehanabad,2612
8,37,2018,Bihar,Sheohar,287
8,38,2018,Bihar,Muzaffarpur,4689
8,39,2018,Bihar,Vaishali,2672
9,1,2018,Rajasthan,Rajsamand,6589
9,2,2018,Rajasthan,Alwar,18954
9,3,2018,Rajasthan,Dausa,12468
9,4,2018,Rajasthan,Jaipur Metro,51631
9,4,2018,Rajasthan,Jaipur Metro I,2257
9,5,2018,Rajasthan,Tonk,11111
9,6,2018,Rajasthan,Bikaner,15505
9,7,2018,Rajasthan,Ganganagar,20365
9,8,2018,Rajasthan,Merta (Nagaur),17149
9,8,2018,Rajasthan,Merta Nagaur,137
9,9,2018,Rajasthan,Udaipur,14390
9,10,2018,Rajasthan,Bundi,11626
9,11,2018,Rajasthan,Hanumangarh,13442
9,12,2018,Rajasthan,Baran,7918
9,13,2018,Rajasthan,Bharatpur,12903
9,14,2018,Rajasthan,Ajmer,34013
9,18,2018,Rajasthan,Jhunjhunu,15404
9,19,2018,Rajasthan,Pali,26313
9,20,2018,Rajasthan,Kota,48892
9,21,2018,Rajasthan,Jalore,6170
9,22,2018,Rajasthan,Jhalawar,10572
9,23,2018,Rajasthan,Pratapgarh,6228
9,24,2018,Rajasthan,Dungarpur,5695
9,25,2018,Rajasthan,Banswara,5760
9,26,2018,Rajasthan,Sirohi,6481
9,27,2018,Rajasthan,Balotra Barmer,7234
9,28,2018,Rajasthan,Jodhpur Metro,14502
9,29,2018,Rajasthan,Karauli,7561
9,30,2018,Rajasthan,Chittorgarh,11086
9,31,2018,Rajasthan,Bhilwara,13045
9,32,2018,Rajasthan,Jaiselmer,4563
9,33,2018,Rajasthan,Churu,8250
9,34,2018,Rajasthan,Dholpur,4291
9,35,2018,Rajasthan,Sikar,15633
9,36,2018,Rajasthan,Sawai Madhopur,9897
9,38,2018,Rajasthan,Jaipur District,8897
9,39,2018,Rajasthan,Jodhpur District,7498
9,40,2018,Rajasthan,Jaipur Metro II,38250
10,1,2018,Tamil Nadu,Dharmapuri,3193
10,2,2018,Tamil Nadu,Pudukkottai,5151
10,3,2018,Tamil Nadu,Tirunelveli,26316
10,4,2018,Tamil Nadu,Theni,11566
10,5,2018,Tamil Nadu,Namakkal,5445
10,6,2018,Tamil Nadu,Nagapattinam,8907
10,7,2018,Tamil Nadu,Kanniyakumari,11345
10,8,2018,Tamil Nadu,Tiruchirappalli,13332
10,9,2018,Tamil Nadu,Thoothukudi,12869
10,10,2018,Tamil Nadu,Viluppuram,8073
10,11,2018,Tamil Nadu,Vellore,16660
10,12,2018,Tamil Nadu,Salem,13188
10,13,2018,Tamil Nadu,Chennai,14562
10,14,2018,Tamil Nadu,Virudhunagar,22033
10,15,2018,Tamil Nadu,Madurai,21172
10,16,2018,Tamil Nadu,The Nilgiris,3759
10,17,2018,Tamil Nadu,Thanjavur,13420
10,18,2018,Tamil Nadu,Coimbatore,10917
10,19,2018,Tamil Nadu,Karur,5207
10,20,2018,Tamil Nadu,Cuddalore,7720
10,21,2018,Tamil Nadu,Ramanathapuram,5127
10,22,2018,Tamil Nadu,Tiruvannamalai,9236
10,23,2018,Tamil Nadu,Perambalur,6314
10,24,2018,Tamil Nadu,Erode,8814
10,25,2018,Tamil Nadu,Tiruvarur,8404
10,26,2018,Tamil Nadu,Krishnagiri,9995
10,27,2018,Tamil Nadu,Dindigul,15935
10,28,2018,Tamil Nadu,Puducherry,5940
10,29,2018,Tamil Nadu,Sivagangai,12893
10,30,2018,Tamil Nadu,Ariyalur,5384
10,31,2018,Tamil Nadu,Kancheepuram,10215
10,32,2018,Tamil Nadu,Tiruvallur,6649
10,33,2018,Tamil Nadu,Tiruppur,11668
11,1,2018,Orissa,Cuttack,5195
11,2,2018,Orissa,Kendrapada,1317
11,3,2018,Orissa,Nuapada,818
11,4,2018,Orissa,Ganjam,4453
11,5,2018,Orissa,Balasore,4752
11,6,2018,Orissa,Koraput,2525
11,7,2018,Orissa,Dhenkanal,1485
11,8,2018,Orissa,Khurda,3387
11,9,2018,Orissa,Gajapati,843
11,10,2018,Orissa,Kalahandi,1599
11,11,2018,Orissa,Sambalpur,1928
11,12,2018,Orissa,Jharsuguda,481
11,13,2018,Orissa,Keonjhar,2572
11,14,2018,Orissa,Jagatsinghpur,1688
11,15,2018,Orissa,Puri,3216
11,16,2018,Orissa,Sundargarh,4535
11,17,2018,Orissa,Balangir,1911
11,18,2018,Orissa,Bhadrak,1894
11,19,2018,Orissa,Jajpur,1695
11,20,2018,Orissa,Sonepur,1710
11,21,2018,Orissa,Rayagada,2655
11,22,2018,Orissa,Nayagarh,1225
11,23,2018,Orissa,Kandhamal,1248
11,24,2018,Orissa,Boudh,790
11,26,2018,Orissa,Mayurbhanj,1010
11,27,2018,Orissa,Anugul,1726
11,29,2018,Orissa,Bargarh,1613
11,30,2018,Orissa,Deogarh,406
11,31,2018,Orissa,Malkangiri,648
11,32,2018,Orissa,Nabarangpur,774
12,1,2018,Jammu and Kashmir,Kathua,1224
12,2,2018,Jammu and Kashmir,Udhampur,3292
12,3,2018,Jammu and Kashmir,Baramulla,2481
12,4,2018,Jammu and Kashmir,Anantnag,7258
12,5,2018,Jammu and Kashmir,Srinagar,6503
12,6,2018,Jammu and Kashmir,Pulwama,3040
12,7,2018,Jammu and Kashmir,Ganderbal,710
12,8,2018,Jammu and Kashmir,Budgam,1028
12,9,2018,Jammu and Kashmir,Reasi,614
12,10,2018,Jammu and Kashmir,Shopian,1605
12,11,2018,Jammu and Kashmir,Kupwara,1448
12,12,2018,Jammu and Kashmir,Poonch,695
12,13,2018,Jammu and Kashmir,Rajouri,1187
12,14,2018,Jammu and Kashmir,Ramban,564
12,15,2018,Jammu and Kashmir,Doda,2777
12,16,2018,Jammu and Kashmir,Leh,178
12,17,2018,Jammu and Kashmir,Kargil,85
12,18,2018,Jammu and Kashmir,Bandipora,203
12,19,2018,Jammu and Kashmir,Jammu,6209
12,20,2018,Jammu and Kashmir,Kulgam,519
12,21,2018,Jammu and Kashmir,Samba,1062
12,22,2018,Jammu and Kashmir,Kishtwar,246
13,1,2018,Uttar Pradesh,Allahabad,42759
13,2,2018,Uttar Pradesh,Bareilly,40577
13,3,2018,Uttar Pradesh,Gorakhpur,37582
13,4,2018,Uttar Pradesh,Hardoi,12379
13,5,2018,Uttar Pradesh,Chitrakoot,7613
